,code,decileMarch20,decileMarch24,scoreMarch20,scoreMarch24,score_change,score_change_code
15720,E01020990,4,4,24.7795083,23.47408842,-5.268142795,4
28679,E01005635,8,8,36.1216107,34.21872646,-5.267993889,4
15255,E01017863,4,4,24.4489167,23.161024,-5.267688199,4
9811,E01011874,2,3,20.7983746,19.7028467,-5.26737266,4
17401,E01006617,5,5,25.8953072,24.53245126,-5.26294564,4
27324,E01028906,8,7,34.3707894,32.56217546,-5.262066933,4
25066,E01014999,7,7,31.9626564,30.28088459,-5.261677218,4
11128,E01006605,3,3,21.6731677,20.53344254,-5.2586921,4
21492,E01034367,6,6,28.8624318,27.34474078,-5.25836156,4
18028,E01020922,5,5,26.3290686,24.94493013,-5.257073414,4
7549,E01018042,2,2,19.2004522,18.19109984,-5.256919724,4
7965,E01021271,2,2,19.5041958,18.47895679,-5.256504886,4
27229,E01013530,8,7,34.2467182,32.44676833,-5.255831696,4
21862,E01027072,6,6,29.1513983,27.61930994,-5.255625645,4
33338,E01034438,9,9,52.2559202,49.51030085,-5.254178558,4
12773,E01005262,3,3,22.7741205,21.57790468,-5.252522572,4
6588,E01033850,1,2,18.4605443,17.49097496,-5.252116753,4
27482,E01005397,8,7,34.5570412,32.74242903,-5.251063469,4
7286,E01031049,2,2,19.0119072,18.01380521,-5.249878279,4
25785,E01001160,7,7,32.6521689,30.93837667,-5.248632148,4
33148,E01025792,9,9,49.8790097,47.26110717,-5.248505427,4
21614,E01022407,6,6,28.9545864,27.43504951,-5.248000678,4
29838,E01025132,8,8,38.0312578,36.03557573,-5.247478493,4
26112,E01020612,7,7,32.9872334,31.25627644,-5.247354135,4
28135,E01027811,8,8,35.4080433,33.55019625,-5.246963327,4
32589,E01035157,9,9,45.9815346,43.56911545,-5.246495506,4
12244,E01035049,3,3,22.4177025,21.24181684,-5.245344219,4
30482,E01023186,9,8,39.3747714,37.30952212,-5.245107982,4
21757,E01018389,6,6,29.0704897,27.5459353,-5.244336846,4
26431,E01016722,7,7,33.3672582,31.61775948,-5.243159966,4
19415,E01026768,5,5,27.3338481,25.90075784,-5.242914417,4
21442,E01004650,6,6,28.8260794,27.3149667,-5.242172123,4
27186,E01003334,8,7,34.2011661,32.40831867,-5.242065197,4
4527,E01009806,1,1,16.6312799,15.75967017,-5.240785666,4
29959,E01034417,8,8,38.2526875,36.24851693,-5.239293508,4
27994,E01035543,8,8,35.2079244,33.36414447,-5.23683223,4
33690,E01030443,9,9,65.8987133,62.44792709,-5.236500134,4
3304,E01008305,0,1,15.3043948,14.50309032,-5.235780232,4
31866,E01031750,9,9,43.0173136,40.76525794,-5.235230829,4
3244,E01011835,0,1,15.2351011,14.43761291,-5.234544815,4
6262,E01035532,1,1,18.1893768,17.23743008,-5.233531247,4
11424,E01033590,3,3,21.8609286,20.71705685,-5.232493896,4
9116,E01008633,2,2,20.3272787,19.26372613,-5.232144371,4
26492,E01011207,7,7,33.4328703,31.68369916,-5.231890414,4
14809,E01012588,4,4,24.1579529,22.89408359,-5.231690419,4
24138,E01004468,7,6,31.0641299,29.43969793,-5.229285257,4
7107,E01015619,2,2,18.8783466,17.89117405,-5.229126104,4
33132,E01018158,9,9,49.7290629,47.12891879,-5.228620759,4
26392,E01001191,7,7,33.3190691,31.57716776,-5.227941207,4
28919,E01012482,8,8,36.4851692,34.57779363,-5.227810688,4
6214,E01007973,1,1,18.1525305,17.20379265,-5.22647712,4
31769,E01016891,9,9,42.6924332,40.4611576,-5.226395953,4
19179,E01004905,5,5,27.1497096,25.73112737,-5.225036488,4
24745,E01000745,7,7,31.6529588,29.99938178,-5.224083573,4
7088,E01028344,2,2,18.8675274,17.8818984,-5.223943659,4
11399,E01014057,3,3,21.8482991,20.70713536,-5.223123935,4
10153,E01007129,3,3,21.0206462,19.92294885,-5.221996227,4
23731,E01015639,7,6,30.6991736,29.09618828,-5.221591103,4
11294,E01002451,3,3,21.7873696,20.64972621,-5.221572916,4
14057,E01020951,4,4,23.6352448,22.40164262,-5.219333208,4
9468,E01024431,2,2,20.566882,19.49350182,-5.218973798,4
